<март, NOUN, 224.0>
<качество, NOUN, 224.0>
<самый, ADJF, 223.0>
<вскоре, ADVB, 223.0>
<сам, NPRO, 223.0>
<суд, NOUN, 222.0>
<среди, PREP, 221.0>
<колония, NOUN, 220.0>
<участвую, VERB, 220.0>
<джомолунгму, UNKNOWN, 218.0>
<географический, ADJF, 218.0>
<русский, ADJF, 217.0>
<индейский, ADJF, 217.0>
<июль, NOUN, 217.0>
<ноябрь, NOUN, 216.0>
<команда, NOUN, 216.0>
<октябрь, NOUN, 215.0>
<глава, NOUN, 215.0>
<январь, NOUN, 213.0>
<работа, NOUN, 212.0>
<имею, VERB, 211.0>
<основал, VERB, 211.0>
<принял, VERB, 211.0>
<служба, NOUN, 210.0>
<восток, NOUN, 210.0>
<право, NOUN, 208.0>
<исследователь, NOUN, 208.0>
<титул, NOUN, 204.0>
<империя, NOUN, 203.0>
<кроме, PREP, 202.0>
<открыл, VERB, 201.0>
<должен, ADJS, 200.0>
<н, ADJF, 198.0>
<совершил, VERB, 198.0>
<мендоса, NOUN, 197.0>
<да, CONJ, 197.0>
<ни, PRCL, 195.0>
<помощь, NOUN, 194.0>
<куско, NOUN, 193.0>
<возвращение, NOUN, 193.0>
<число, NOUN, 192.0>
<дело, NOUN, 192.0>
<судно, NOUN, 192.0>
<армия, NOUN, 191.0>
<пролив, NOUN, 191.0>
<назначен, PRTS, 190.0>
<мореплаватель, NOUN, 190.0>
<сила, NOUN, 190.0>
<находился, VERB, 189.0>
<мыс, NOUN, 188.0>
<район, NOUN, 187.0>
<оказался, VERB, 187.0>
<тогда, ADVB, 186.0>
<запад, NOUN, 186.0>
<сведение, NOUN, 185.0>
<образ, NOUN, 184.0>
<дуарте, UNKNOWN, 183.0>
<золотой, ADJF, 182.0>
<эрнан, NOUN, 182.0>
<бы, PRCL, 182.0>
<флот, NOUN, 181.0>
<даже, PRCL, 181.0>
<декабрь, NOUN, 181.0>
<член, NOUN, 181.0>
<долина, NOUN, 179.0>
<население, NOUN, 179.0>
<командование, NOUN, 176.0>
<хотя, CONJ, 176.0>
<куб, NOUN, 175.0>
<ирвин, NOUN, 175.0>
<великий, ADJF, 175.0>
<прошёл, VERB, 174.0>
<месяц, NOUN, 174.0>
<правитель, NOUN, 173.0>
<письмо, NOUN, 172.0>
<жена, NOUN, 172.0>
<житель, NOUN, 172.0>
<монтехо, UNKNOWN, 172.0>
<историк, NOUN, 172.0>
<дочь, NOUN, 171.0>
<очень, ADVB, 171.0>
<пост, NOUN, 170.0>
<вдоль, PREP, 170.0>
<мир, NOUN, 170.0>
<данный, NPRO, 169.0>
<эверест, NOUN, 168.0>
<христофор, NOUN, 168.0>
<европа, NOUN, 168.0>
<ранее, ADVB, 168.0>
<дон, NOUN, 166.0>
<некоторый, NPRO, 166.0>
<если, CONJ, 165.0>
<ди, PRCL, 165.0>
<индия, NOUN, 165.0>
<чили, NOUN, 163.0>
<поскольку, CONJ, 163.0>
<рекорд, NOUN, 163.0>
<отправил, VERB, 162.0>
<торговля, NOUN, 162.0>
<отношение, NOUN, 161.0>
<погиб, VERB, 161.0>
<ребёнок, NOUN, 161.0>
<сталь, NOUN, 161.0>
<севилья, NOUN, 161.0>
<далее, ADVB, 160.0>
<февраль, NOUN, 159.0>
<впервые, ADVB, 158.0>
<впоследствии, ADVB, 158.0>
<несмотря, PREP, 158.0>
<состав, NOUN, 157.0>
<поэтому, ADVB, 156.0>
<индийский, ADJF, 155.0>
<гренландия, NOUN, 154.0>
<остался, VERB, 153.0>
<много, NUMR, 153.0>
<позднее, COMP, 152.0>
<руководство, NOUN, 152.0>
<уровень, NOUN, 151.0>
<обнаружил, VERB, 151.0>
<вынужден, PRTS, 150.0>
<лишь, PRCL, 150.0>
<войско, NOUN, 150.0>
<пайтити, UNKNOWN, 150.0>
<континент, NOUN, 150.0>
<являюсь, VERB, 150.0>
<небольшой, ADJF, 150.0>
<автор, NOUN, 149.0>
<перед, PREP, 149.0>
<карла, NOUN, 149.0>
<гам, NOUN, 148.0>
<путешественник, NOUN, 148.0>
<честь, NOUN, 148.0>
<восстание, NOUN, 147.0>
<порт, NOUN, 147.0>
<й, NOUN, 147.0>
<ряд, NOUN, 147.0>
<тысяча, NOUN, 146.0>
<торговый, ADJF, 146.0>
<снова, ADVB, 144.0>
<мехико, NOUN, 144.0>
<васко, UNKNOWN, 143.0>
<причина, NOUN, 142.0>
<менее, ADVB, 142.0>
<отплыл, VERB, 142.0>
<эрнандо, UNKNOWN, 141.0>
<корона, NOUN, 140.0>
<научный, ADJF, 140.0>
<веласкес, NOUN, 140.0>
<вальдивия, UNKNOWN, 140.0>
<ход, NOUN, 140.0>
<мартин, NOUN, 139.0>
<почти, ADVB, 139.0>
<племя, NOUN, 138.0>
<дальнейший, ADJF, 138.0>
<язык, NOUN, 138.0>
<основной, ADJF, 138.0>
<хиллари, NOUN, 136.0>
<пришёлся, VERB, 135.0>
<европейский, ADJF, 135.0>
<можно, PRED, 135.0>
<тихий, ADJF, 134.0>
<э, INTJ, 134.0>
<королевство, NOUN, 134.0>
<примерно, ADVB, 133.0>
<четыре, NUMR, 133.0>
<род, NOUN, 133.0>
<широта, NOUN, 133.0>
<гребень, NOUN, 133.0>
<происхождение, NOUN, 133.0>
<владение, NOUN, 132.0>
<гарсия, NOUN, 132.0>
<материк, NOUN, 131.0>
<шерп, NOUN, 131.0>
<аделантадо, UNKNOWN, 131.0>
<мы, NPRO, 130.0>
<олида, NOUN, 130.0>
<приказ, NOUN, 130.0>
<открытый, ADJF, 130.0>
<моряк, NOUN, 129.0>
<дом, NOUN, 129.0>
<случай, NOUN, 129.0>
<сделал, VERB, 129.0>
<устье, NOUN, 129.0>
<вернуться, INFN, 128.0>
<понсе, UNKNOWN, 128.0>
<возможность, NOUN, 127.0>
<второй, ADJF, 127.0>
<регион, NOUN, 127.0>
<труд, NOUN, 127.0>
<пераса, UNKNOWN, 127.0>
<который, NPRO, 126.0>
<столица, NOUN, 126.0>
<источник, NOUN, 126.0>
<возможно, ADVB, 126.0>
<связь, NOUN, 125.0>
<остаюсь, VERB, 125.0>
<компания, NOUN, 125.0>
<завоеватель, NOUN, 125.0>
<плен, NOUN, 125.0>
<полуостров, NOUN, 125.0>
<азия, NOUN, 125.0>
<битва, NOUN, 125.0>
<жуан, NOUN, 125.0>
<вновь, ADVB, 124.0>
<км, NOUN, 123.0>
<луго, UNKNOWN, 123.0>
<диас, NOUN, 123.0>
<иду, VERB, 123.0>
<начался, VERB, 123.0>
<назвал, VERB, 123.0>
<х, NOUN, 122.0>
<университет, NOUN, 122.0>
<инеса, NOUN, 122.0>
<пять, NUMR, 122.0>
<женщина, NOUN, 122.0>
<вошёл, VERB, 122.0>
<событие, NOUN, 121.0>
<документ, NOUN, 121.0>
<седло, NOUN, 121.0>
<вокруг, PREP, 121.0>
<обратно, ADVB, 120.0>
<период, NOUN, 120.0>
<сражение, NOUN, 120.0>
<сантьяго, NOUN, 119.0>
<ты, NPRO, 119.0>
<друг, NOUN, 119.0>
<мать, NOUN, 119.0>
<успех, NOUN, 119.0>
<канарский, ADJF, 118.0>
<общество, NOUN, 118.0>
<рука, NOUN, 118.0>
<бразилия, NOUN, 118.0>
<раб, NOUN, 118.0>
<слово, NOUN, 117.0>
<вода, NOUN, 117.0>
<провёл, VERB, 117.0>
<дошёл, VERB, 117.0>
<американский, ADJF, 117.0>
<кислородный, ADJF, 117.0>
<количество, NOUN, 117.0>
<совет, NOUN, 117.0>
<собственный, ADJF, 116.0>
<старший, ADJF, 116.0>
<доклад, NOUN, 116.0>
<скончался, VERB, 115.0>
<основание, NOUN, 115.0>
<орден, NOUN, 115.0>
<оба, NUMR, 115.0>
<важный, ADJF, 115.0>
<австралия, NOUN, 115.0>
<край, NOUN, 115.0>
<коренной, ADJF, 114.0>
<вак, NOUN, 114.0>
<множество, NOUN, 114.0>
<именно, PRCL, 114.0>
<правительство, NOUN, 114.0>
<третий, ADJF, 113.0>
<п, NOUN, 113.0>
<назначил, VERB, 113.0>
<согласно, PREP, 113.0>
<считаюсь, VERB, 113.0>
<смог, VERB, 113.0>
<дал, VERB, 113.0>
<альварадо, UNKNOWN, 112.0>
<тело, NOUN, 112.0>
<стена, NOUN, 112.0>
<представитель, NOUN, 111.0>
<мэр, NOUN, 111.0>
<панама, NOUN, 111.0>
<сообщение, NOUN, 111.0>
<базовый, ADJF, 110.0>
<кто, NPRO, 110.0>
<произошёл, VERB, 110.0>
<направился, VERB, 110.0>
<описание, NOUN, 110.0>
<оставил, VERB, 110.0>
<гусман, NOUN, 109.0>
<агирре, UNKNOWN, 109.0>
<флотилия, NOUN, 109.0>
<благодаря, PREP, 109.0>
<час, NOUN, 108.0>
<ночь, NOUN, 108.0>
<увидел, VERB, 108.0>
<предпринял, VERB, 107.0>
<прибытие, NOUN, 107.0>
<взял, VERB, 107.0>
<санто-доминго, UNKNOWN, 107.0>
<прибыль, NOUN, 106.0>
<лима, NOUN, 106.0>
<останки, NOUN, 106.0>
<туда, ADVB, 106.0>
<изучение, NOUN, 105.0>
<потому, ADVB, 105.0>
<привёл, VERB, 105.0>
<поднялся, VERB, 104.0>
<ныне, ADVB, 104.0>
<управление, NOUN, 104.0>
<сьеса, UNKNOWN, 104.0>
<старый, ADJF, 103.0>
<норонья, UNKNOWN, 103.0>
<больше, ADVB, 103.0>
<висенте, NOUN, 102.0>
<святой, ADJF, 102.0>
<область, NOUN, 102.0>
<английский, ADJF, 102.0>
<горный, ADJF, 101.0>
<здесь, ADVB, 101.0>
<мнение, NOUN, 101.0>
<известен, ADJS, 100.0>
<исследую, VERB, 100.0>
<поздний, ADJF, 100.0>
<народ, NOUN, 100.0>
<монастырь, NOUN, 100.0>
<болезнь, NOUN, 99.0>
<рассказ, NOUN, 99.0>
<сильный, ADJF, 99.0>
<пока, CONJ, 99.0>
<момент, NOUN, 99.0>
<колумбия, NOUN, 98.0>
<издание, NOUN, 98.0>
<большинство, NOUN, 98.0>
<вальдивии, UNKNOWN, 98.0>
<разрешение, NOUN, 97.0>
<ранний, ADJF, 97.0>
<мировой, ADJF, 97.0>
<покорение, NOUN, 97.0>
<возраст, NOUN, 97.0>
<попал, VERB, 97.0>
<высокий, ADJF, 97.0>
<организация, NOUN, 97.0>
<берналь, UNKNOWN, 96.0>
<высадился, VERB, 96.0>
<наука, NOUN, 96.0>
<единственный, ADJF, 96.0>
<план, NOUN, 96.0>
<точка, NOUN, 96.0>
<гарай, NOUN, 96.0>
<ле, PRCL, 96.0>
<оттуда, ADVB, 96.0>
<носильщик, NOUN, 95.0>
<пора, NOUN, 95.0>
<состоялся, VERB, 95.0>
<ю, NOUN, 95.0>
<ветер, NOUN, 95.0>
<служу, VERB, 95.0>
<известно, ADVB, 95.0>
<неизвестный, ADJF, 95.0>
<решение, NOUN, 95.0>
<ступень, NOUN, 95.0>
<крепость, NOUN, 95.0>
<граф, NOUN, 94.0>
<подготовка, NOUN, 94.0>
<захватил, VERB, 94.0>
<остальной, ADJF, 93.0>
<каждый, ADJF, 93.0>
<исторический, ADJF, 93.0>
<узнал, VERB, 93.0>
<спуск, NOUN, 93.0>
<серебро, NOUN, 93.0>
<спустя, PREP, 92.0>
<принимаю, VERB, 92.0>
<смог, NOUN, 92.0>
<армада, NOUN, 91.0>
<надежда, NOUN, 91.0>
<вид, NOUN, 91.0>
<вероятно, ADVB, 91.0>
<середина, NOUN, 90.0>
<кислород, NOUN, 90.0>
<дорога, NOUN, 90.0>
<эрнандес, NOUN, 90.0>
<назван, ADJS, 90.0>
<вопрос, NOUN, 90.0>
<договор, NOUN, 90.0>
<ли, PRCL, 90.0>
<антонио, NOUN, 90.0>
<французский, ADJF, 89.0>
<назначение, NOUN, 89.0>
<ласа, NOUN, 89.0>
<сопровождаю, VERB, 89.0>
<эльдорадо, NOUN, 88.0>
<центральный, ADJF, 88.0>
<конфликт, NOUN, 88.0>
<опыт, NOUN, 88.0>
<отказался, VERB, 88.0>
<приказал, VERB, 88.0>
<потом, ADVB, 88.0>
<продолжил, VERB, 87.0>
<хроника, NOUN, 87.0>
<найти, INFN, 87.0>
<лошадь, NOUN, 87.0>
<существую, VERB, 87.0>
<хочу, VERB, 86.0>
<двор, NOUN, 86.0>
<отправлен, PRTS, 86.0>
<полномочие, NOUN, 86.0>
<быть, INFN, 86.0>
<богатый, ADJF, 85.0>
<поддержка, NOUN, 85.0>
<многочисленный, ADJF, 85.0>
<нахожусь, VERB, 85.0>
<хорошо, ADVB, 85.0>
<версия, NOUN, 84.0>
<крупный, ADJF, 84.0>
<легенда, NOUN, 84.0>
<действие, NOUN, 84.0>
<луис, NOUN, 84.0>
<получив, GRND, 84.0>
<установил, VERB, 84.0>
<называю, VERB, 84.0>
<половина, NOUN, 84.0>
<воин, NOUN, 84.0>
<тенерифе, NOUN, 83.0>
<купец, NOUN, 83.0>
<император, NOUN, 83.0>
<лодка, NOUN, 83.0>
<обнаружен, PRTS, 83.0>
<младший, ADJF, 83.0>
<линия, NOUN, 83.0>
<фернандес, UNKNOWN, 83.0>
<венесуэла, NOUN, 83.0>
<нашёл, VERB, 83.0>
<родственник, NOUN, 83.0>
<состояние, NOUN, 83.0>
<рио-де, UNKNOWN, 82.0>
<покинул, VERB, 82.0>
<музей, NOUN, 82.0>
<веракрус, NOUN, 82.0>
<сша, NOUN, 82.0>
<деятельность, NOUN, 82.0>
<государство, NOUN, 82.0>
<убит, ADJS, 82.0>
<вождь, NOUN, 81.0>
<прибор, NOUN, 81.0>
<флорида, NOUN, 81.0>
<предложил, VERB, 81.0>
<гаити, NOUN, 81.0>
<официальный, ADJF, 81.0>
<экипаж, NOUN, 81.0>
<колонист, NOUN, 80.0>
<информация, NOUN, 80.0>
<дальше, COMP, 80.0>
<церковь, NOUN, 80.0>
<последующий, ADJF, 79.0>
<ацтек, NOUN, 79.0>
<веду, VERB, 79.0>
<священник, NOUN, 79.0>
<считал, VERB, 79.0>
<значительный, ADJF, 79.0>
<посетил, VERB, 79.0>
<начал, VERB, 79.0>
<занимаюсь, VERB, 79.0>
<найден, PRTS, 78.0>
<попытался, VERB, 78.0>
<добрался, VERB, 78.0>
<сокровище, NOUN, 78.0>
<джон, NOUN, 78.0>
<составил, VERB, 78.0>
<сото, UNKNOWN, 77.0>
<адмирал, NOUN, 77.0>
<менезиш, UNKNOWN, 77.0>
<положение, NOUN, 77.0>
<советский, ADJF, 77.0>
<влияние, NOUN, 77.0>
<полный, ADJF, 77.0>
<присоединился, VERB, 76.0>
<сразу, ADVB, 76.0>
<женился, VERB, 76.0>
<оставшийся, PRTF, 76.0>
<северо-восточный, ADJF, 76.0>
<мексиканский, ADJF, 76.0>
<нападение, NOUN, 76.0>
<богатство, NOUN, 76.0>
<китай, NOUN, 76.0>
<бухта, NOUN, 76.0>
<филипп, NOUN, 75.0>
<пытаюсь, VERB, 75.0>
<миссия, NOUN, 75.0>
<нынешний, ADJF, 75.0>
<условие, NOUN, 75.0>
<открыт, PRTS, 75.0>
<возглавил, VERB, 75.0>
<белый, ADJF, 75.0>
<форт, NOUN, 75.0>
<хронист, NOUN, 75.0>
<дальний, ADJF, 75.0>
<немецкий, ADJF, 75.0>
<руководитель, NOUN, 75.0>
<написал, VERB, 75.0>
<знаю, VERB, 74.0>
<эдмунд, NOUN, 74.0>
<бывший, ADJF, 74.0>
<селение, NOUN, 74.0>
<итог, NOUN, 73.0>
<семь, NUMR, 73.0>
<королева, NOUN, 73.0>
<добрый, ADJF, 73.0>
<товар, NOUN, 73.0>
<пересёк, VERB, 73.0>
<послал, VERB, 73.0>
<вижу, VERB, 73.0>
<брак, NOUN, 73.0>
<отчёт, NOUN, 73.0>
<альпинистский, ADJF, 73.0>
<местность, NOUN, 73.0>
<огромный, ADJF, 73.0>
<кук, NOUN, 72.0>
<политический, ADJF, 72.0>
<сначала, ADVB, 72.0>
<эрик, NOUN, 72.0>
<борьба, NOUN, 72.0>
<различный, ADJF, 72.0>
<лёд, NOUN, 72.0>
<погода, NOUN, 72.0>
<некоторый, ADJF, 72.0>
<касик, NOUN, 72.0>
<принадлежу, VERB, 72.0>
<пара, NOUN, 71.0>
<бальбоа, NOUN, 71.0>
<исследовать, VERB, 71.0>
<создание, NOUN, 71.0>
<ледник, NOUN, 71.0>
<ношу, VERB, 71.0>
<материал, NOUN, 71.0>
<рыцарь, NOUN, 71.0>
<названный, PRTF, 71.0>
<владивосток, NOUN, 71.0>
<отправиться, INFN, 71.0>
<разный, ADJF, 71.0>
<обратный, ADJF, 71.0>
<частность, NOUN, 70.0>
<родной, ADJF, 70.0>
<изабелла, NOUN, 70.0>
<себастьян, NOUN, 70.0>
<сильно, ADVB, 70.0>
<роль, NOUN, 70.0>
<будущее, NOUN, 70.0>
<обвинение, NOUN, 70.0>
<средство, NOUN, 70.0>
<штат, NOUN, 70.0>
<культура, NOUN, 70.0>
<третий, NUMR, 70.0>
<выше, PREP, 70.0>
<называемый, PRTF, 70.0>
<картахена, NOUN, 70.0>
<граница, NOUN, 70.0>
<звание, NOUN, 70.0>
<общий, ADJF, 70.0>
<командир, NOUN, 70.0>
<атлантический, ADJF, 70.0>
<россия, NOUN, 69.0>
<причём, CONJ, 69.0>
<потерпел, VERB, 69.0>
<пряность, NOUN, 69.0>
<джордж, NOUN, 69.0>
<полностью, ADVB, 69.0>
<парагвай, NOUN, 69.0>
<организую, VERB, 69.0>
<сторонник, NOUN, 69.0>
<англия, NOUN, 69.0>
<тяжёлый, ADJF, 69.0>
<поражение, NOUN, 69.0>
<дата, NOUN, 68.0>
<двое, NUMR, 68.0>
<занял, VERB, 68.0>
<поступил, VERB, 68.0>
<дворянин, NOUN, 68.0>
<кастилии, UNKNOWN, 68.0>
<проблема, NOUN, 68.0>
<озеро, NOUN, 68.0>
<хребет, NOUN, 68.0>
<содре, UNKNOWN, 68.0>
<перешёл, VERB, 68.0>
<родриго, UNKNOWN, 67.0>
<помимо, PREP, 67.0>
<архипелаг, NOUN, 67.0>
<овандо, UNKNOWN, 67.0>
<вместо, PREP, 67.0>
<знаменитый, ADJF, 67.0>
<камчатка, NOUN, 67.0>
<рождение, NOUN, 67.0>
<утверждаю, VERB, 67.0>
<маркиз, NOUN, 67.0>
<дель, PRCL, 67.0>
<продовольствие, NOUN, 67.0>
<настоящий, ADJF, 66.0>
<высадка, NOUN, 66.0>
<изучаю, VERB, 66.0>
<груз, NOUN, 66.0>
<китайский, ADJF, 66.0>
<католический, ADJF, 66.0>
<будучи, GRND, 66.0>
<задача, NOUN, 66.0>
<центр, NOUN, 66.0>
<летний, ADJF, 65.0>
<палатка, NOUN, 65.0>
<суша, NOUN, 65.0>
<партия, NOUN, 65.0>
<лейтенант, NOUN, 65.0>
<перевод, NOUN, 65.0>
<личный, ADJF, 65.0>
<оделла, NOUN, 65.0>
<лопес, UNKNOWN, 65.0>
<боевой, ADJF, 65.0>
<кастро, NOUN, 65.0>
<следую, VERB, 65.0>
<основа, NOUN, 65.0>
<появился, VERB, 65.0>
<встретил, VERB, 65.0>
<участок, NOUN, 64.0>
<добыча, NOUN, 64.0>
<молодой, ADJF, 64.0>
<гренландский, ADJF, 64.0>
<откуда, ADVB, 64.0>
<образование, NOUN, 64.0>
<объявил, VERB, 64.0>
<интерес, NOUN, 64.0>
<ниже, ADVB, 64.0>
<командую, VERB, 64.0>
<джомолунгме, UNKNOWN, 64.0>
<убийство, NOUN, 64.0>
<направление, NOUN, 64.0>
<робледо, UNKNOWN, 64.0>
<муж, NOUN, 64.0>
<го, NOUN, 64.0>
<сделать, INFN, 64.0>
<вплоть, ADVB, 64.0>
<эскадра, NOUN, 64.0>
<мера, NOUN, 63.0>
<учёный, ADJF, 63.0>
<туземец, NOUN, 63.0>
<идти, INFN, 63.0>
<писаю, VERB, 63.0>
<продолжаю, VERB, 63.0>
<знатный, ADJF, 63.0>
<офицер, NOUN, 63.0>
<кандия, UNKNOWN, 63.0>
<география, NOUN, 63.0>
<первооткрыватель, NOUN, 63.0>
<посольство, NOUN, 62.0>
<непал, NOUN, 62.0>
<особенно, ADVB, 62.0>
<фердинанд, NOUN, 62.0>
<работаю, VERB, 62.0>
<бой, NOUN, 62.0>
<установлен, PRTS, 62.0>
<владимир, NOUN, 62.0>
<занимаю, VERB, 62.0>
<утро, NOUN, 62.0>
<поселенец, NOUN, 62.0>
<лично, ADVB, 61.0>
<пройти, INFN, 61.0>
<включая, PREP, 61.0>
<память, NOUN, 61.0>
<гражданский, ADJF, 61.0>
<правление, NOUN, 61.0>
<высочайший, ADJF, 61.0>
<спутник, NOUN, 61.0>
<шесть, NUMR, 60.0>
<пуэрто-рико, NOUN, 60.0>
<лицо, NOUN, 60.0>
<энрике, NOUN, 60.0>
<сотня, NOUN, 60.0>
<подъём, NOUN, 60.0>
<ничто, NPRO, 60.0>
<древний, ADJF, 60.0>
<вниз, ADVB, 60.0>
<хороший, ADJF, 59.0>
<поездка, NOUN, 59.0>
<тенцинг, UNKNOWN, 59.0>
<юго-восточный, ADJF, 59.0>
<какой, ADJF, 59.0>
<предыдущий, ADJF, 59.0>
<ф, NOUN, 59.0>
<вступил, VERB, 59.0>
<зеландия, NOUN, 59.0>
<потомок, NOUN, 59.0>
<свидетельство, NOUN, 59.0>
<гибель, NOUN, 59.0>
<уссурийский, ADJF, 59.0>
<кампания, NOUN, 59.0>
<шторм, NOUN, 59.0>
<достаточно, ADVB, 59.0>
